UpdateTime	TopWait
2025-05-08 00:30	> 1
2025-05-08 00:45	> 1
2025-05-08 01:15	> 1
2025-05-08 01:30	> 1
2025-05-08 01:45	> 1
2025-05-08 02:30	> 1
2025-05-08 02:45	> 1
2025-05-08 03:15	> 1
2025-05-08 03:45	> 1
2025-05-08 04:15	> 1
2025-05-08 04:30	> 1
2025-05-08 04:45	> 1
2025-05-08 05:15	> 1
2025-05-08 05:30	> 1
2025-05-08 05:45	> 1
2025-05-08 06:15	> 1
2025-05-08 06:30	> 1
2025-05-08 06:45	> 1
2025-05-08 07:15	> 1
2025-05-08 07:30	> 1
2025-05-08 07:45	> 1
2025-05-08 10:00	> 1
2025-05-08 11:15	> 1
2025-05-08 11:45	> 1
2025-05-08 12:30	> 2
2025-05-08 12:45	> 2
2025-05-08 12:45	> 2
2025-05-08 13:15	> 2
2025-05-08 13:30	> 2
2025-05-08 13:45	> 2
2025-05-08 14:30	> 2
2025-05-08 15:15	> 2
2025-05-08 15:30	> 2
2025-05-08 15:45	> 2
2025-05-08 16:30	> 2
2025-05-08 16:45	> 2
2025-05-08 17:15	> 2
2025-05-08 17:30	> 2
2025-05-08 17:45	> 2
2025-05-08 18:15	> 2
2025-05-08 18:45	> 2
2025-05-08 18:45	> 2
2025-05-08 19:15	> 1
2025-05-08 19:30	> 1
2025-05-08 19:45	> 1
2025-05-08 20:45	> 1
2025-05-08 21:30	> 1
2025-05-08 21:30	> 1
2025-05-08 21:45	> 1
2025-05-08 22:15	> 1
2025-05-08 22:30	> 1
2025-05-08 22:45	> 1
2025-05-08 23:15	> 1
2025-05-08 23:30	> 1
2025-05-08 23:45	> 1
