UpdateTime	TopWait
2024-12-16 00:15	< 1
2024-12-16 00:30	< 1
2024-12-16 00:45	< 1
2024-12-16 01:15	< 1
2024-12-16 01:30	< 1
2024-12-16 01:45	< 1
2024-12-16 02:30	< 1
2024-12-16 02:45	< 1
2024-12-16 02:45	< 1
2024-12-16 03:15	< 1
2024-12-16 03:15	< 1
2024-12-16 03:30	< 1
2024-12-16 03:45	< 1
2024-12-16 04:15	< 1
2024-12-16 04:30	< 1
2024-12-16 04:45	< 1
2024-12-16 05:15	< 1
2024-12-16 05:30	< 1
2024-12-16 05:45	< 1
2024-12-16 06:15	< 1
2024-12-16 06:30	< 1
2024-12-16 06:45	< 1
2024-12-16 07:15	< 1
2024-12-16 07:30	< 1
2024-12-16 07:45	< 1
2024-12-16 10:00	< 1
2024-12-16 11:00	< 1
2024-12-16 11:45	< 1
2024-12-16 11:45	< 1
2024-12-16 12:15	< 1
2024-12-16 12:45	< 1
2024-12-16 12:45	< 1
2024-12-16 13:15	< 1
2024-12-16 13:30	< 1
2024-12-16 13:45	< 1
2024-12-16 14:30	< 1
2024-12-16 14:45	< 1
2024-12-16 15:15	< 1
2024-12-16 15:30	< 1
2024-12-16 15:45	< 1
2024-12-16 16:30	< 1
2024-12-16 16:45	< 1
2024-12-16 17:15	< 1
2024-12-16 17:30	< 1
2024-12-16 17:45	< 1
2024-12-16 18:15	< 1
2024-12-16 18:45	< 1
2024-12-16 18:45	< 1
2024-12-16 19:15	< 1
2024-12-16 19:30	< 1
2024-12-16 19:45	< 1
2024-12-16 20:45	< 1
2024-12-16 21:30	< 1
2024-12-16 21:45	< 1
2024-12-16 21:45	< 1
2024-12-16 22:15	< 1
2024-12-16 22:30	< 1
2024-12-16 22:45	< 1
2024-12-16 23:15	< 1
2024-12-16 23:30	< 1
2024-12-16 23:45	< 1
