UpdateTime	TopWait
2025-06-13 00:30	> 2
2025-06-13 00:45	> 2
2025-06-13 01:15	> 2
2025-06-13 01:30	> 2
2025-06-13 01:45	> 2
2025-06-13 04:15	> 2
2025-06-13 04:30	> 2
2025-06-13 05:30	> 2
2025-06-13 05:45	> 1
2025-06-13 06:15	> 1
2025-06-13 06:30	> 1
2025-06-13 06:45	< 1
2025-06-13 07:15	< 1
2025-06-13 07:30	< 1
2025-06-13 07:45	< 1
2025-06-13 10:00	< 1
2025-06-13 11:30	< 1
2025-06-13 12:00	< 1
2025-06-13 12:45	> 1
2025-06-13 13:15	> 1
2025-06-13 13:30	> 1
2025-06-13 13:45	> 1
2025-06-13 14:45	> 1
2025-06-13 15:30	> 1
2025-06-13 15:45	> 1
2025-06-13 16:30	> 1
2025-06-13 16:45	> 1
2025-06-13 17:30	> 1
2025-06-13 17:45	> 1
2025-06-13 18:15	> 1
2025-06-13 18:45	> 2
2025-06-13 18:45	> 2
2025-06-13 19:15	> 2
2025-06-13 19:30	> 2
2025-06-13 19:45	> 3
2025-06-13 20:45	> 3
2025-06-13 21:30	> 4
2025-06-13 21:45	> 4
2025-06-13 22:15	> 5
2025-06-13 22:45	> 5
2025-06-13 22:45	> 5
2025-06-13 23:15	> 4
2025-06-13 23:30	> 4
2025-06-13 23:45	> 4
