UpdateTime	TopWait
2024-06-22 00:15	> 5
2024-06-22 00:30	> 5
2024-06-22 00:45	> 5
2024-06-22 01:15	> 5
2024-06-22 01:30	> 5
2024-06-22 01:45	> 5
2024-06-22 02:15	> 5
2024-06-22 02:45	> 5
2024-06-22 03:15	> 5
2024-06-22 03:15	> 5
2024-06-22 03:30	> 5
2024-06-22 03:45	> 5
2024-06-22 04:15	> 5
2024-06-22 04:30	> 5
2024-06-22 04:45	> 5
2024-06-22 05:15	> 5
2024-06-22 05:30	> 5
2024-06-22 05:45	> 5
2024-06-22 06:15	> 6
2024-06-22 06:30	> 6
2024-06-22 06:45	> 6
2024-06-22 07:15	> 6
2024-06-22 07:15	> 6
2024-06-22 07:30	> 6
2024-06-22 07:45	> 6
2024-06-22 09:15	> 6
2024-06-22 10:15	> 6
2024-06-22 10:30	> 6
2024-06-22 10:45	> 5
2024-06-22 11:15	> 3
2024-06-22 11:45	> 1
2024-06-22 12:15	> 1
2024-06-22 12:30	> 1
2024-06-22 12:45	> 1
2024-06-22 13:15	> 2
2024-06-22 13:30	> 2
2024-06-22 13:45	> 2
2024-06-22 14:15	> 2
2024-06-22 14:30	> 2
2024-06-22 14:45	> 2
2024-06-22 15:15	> 3
2024-06-22 15:15	> 3
2024-06-22 15:30	> 3
2024-06-22 15:45	> 3
2024-06-22 16:15	> 3
2024-06-22 16:30	> 3
2024-06-22 16:45	> 3
2024-06-22 17:15	> 3
2024-06-22 17:30	> 3
2024-06-22 17:45	> 3
2024-06-22 18:15	> 3
2024-06-22 18:30	> 3
2024-06-22 18:45	> 3
2024-06-22 19:00	> 3
2024-06-22 19:15	> 3
2024-06-22 19:30	> 4
2024-06-22 19:45	> 4
2024-06-22 20:30	> 5
2024-06-22 21:00	> 5
2024-06-22 21:15	> 5
2024-06-22 21:30	> 5
2024-06-22 21:45	> 5
2024-06-22 22:15	> 4
2024-06-22 22:15	> 4
2024-06-22 22:30	> 4
2024-06-22 22:45	> 4
2024-06-22 23:15	> 4
2024-06-22 23:30	> 4
2024-06-22 23:45	> 4
