UpdateTime	TopWait
2024-11-07 00:15	> 4
2024-11-07 00:45	> 3
2024-11-07 00:45	> 3
2024-11-07 01:15	> 3
2024-11-07 01:30	> 3
2024-11-07 01:45	> 3
2024-11-07 02:15	> 3
2024-11-07 02:30	> 3
2024-11-07 02:45	> 4
2024-11-07 03:15	> 4
2024-11-07 03:30	> 4
2024-11-07 03:45	> 4
2024-11-07 04:15	> 4
2024-11-07 04:30	> 4
2024-11-07 04:45	> 4
2024-11-07 05:15	> 5
2024-11-07 05:30	> 5
2024-11-07 05:45	> 5
2024-11-07 06:15	> 6
2024-11-07 06:30	> 6
2024-11-07 06:45	> 6
2024-11-07 07:15	> 6
2024-11-07 07:30	> 6
2024-11-07 07:45	> 6
2024-11-07 09:45	> 6
2024-11-07 10:30	> 5
2024-11-07 11:00	> 6
2024-11-07 11:30	> 6
2024-11-07 11:45	> 5
2024-11-07 12:15	> 5
2024-11-07 12:30	> 5
2024-11-07 12:45	> 3
2024-11-07 13:15	> 3
2024-11-07 13:30	> 3
2024-11-07 13:45	> 3
2024-11-07 14:30	> 3
2024-11-07 14:30	> 3
2024-11-07 14:45	> 3
2024-11-07 15:15	> 3
2024-11-07 15:30	> 2
2024-11-07 15:45	> 4
2024-11-07 16:15	> 2
2024-11-07 16:30	> 2
2024-11-07 16:45	> 1
2024-11-07 17:15	> 1
2024-11-07 17:30	> 1
2024-11-07 17:45	> 1
2024-11-07 18:15	> 1
2024-11-07 18:30	> 1
2024-11-07 18:45	> 2
2024-11-07 19:15	> 2
2024-11-07 19:15	> 2
2024-11-07 19:30	> 2
2024-11-07 19:45	> 2
2024-11-07 20:30	> 2
2024-11-07 21:00	> 2
2024-11-07 21:30	> 2
2024-11-07 21:30	> 2
2024-11-07 21:45	> 2
2024-11-07 22:15	> 2
2024-11-07 22:30	> 2
2024-11-07 22:45	> 2
2024-11-07 23:15	> 2
2024-11-07 23:30	> 2
2024-11-07 23:45	> 2
