UpdateTime	TopWait
2024-03-25 00:15	> 4
2024-03-25 00:30	> 4
2024-03-25 00:45	> 4
2024-03-25 01:15	> 5
2024-03-25 01:15	> 5
2024-03-25 01:30	> 5
2024-03-25 01:45	> 5
2024-03-25 02:15	> 6
2024-03-25 02:30	> 6
2024-03-25 02:45	> 6
2024-03-25 03:00	> 6
2024-03-25 03:15	> 6
2024-03-25 03:30	> 6
2024-03-25 03:45	> 6
2024-03-25 04:15	> 6
2024-03-25 04:15	> 6
2024-03-25 04:30	> 6
2024-03-25 04:45	> 6
2024-03-25 05:15	> 6
2024-03-25 05:15	> 6
2024-03-25 05:30	> 6
2024-03-25 05:45	> 6
2024-03-25 06:15	> 6
2024-03-25 06:15	> 6
2024-03-25 06:30	> 6
2024-03-25 06:45	> 6
2024-03-25 07:15	> 7
2024-03-25 07:30	> 8
2024-03-25 07:45	> 8
2024-03-25 09:15	> 8
2024-03-25 09:45	> 8
2024-03-25 10:15	> 8
2024-03-25 10:30	> 8
2024-03-25 10:45	> 8
2024-03-25 11:15	> 6
2024-03-25 11:30	> 5
2024-03-25 11:45	> 3
2024-03-25 12:15	> 3
2024-03-25 12:30	> 3
2024-03-25 12:45	> 3
2024-03-25 13:15	> 4
2024-03-25 13:30	> 4
2024-03-25 13:45	> 4
2024-03-25 14:15	> 4
2024-03-25 14:30	> 4
2024-03-25 14:45	> 4
2024-03-25 15:15	> 5
2024-03-25 15:15	> 5
2024-03-25 15:30	> 5
2024-03-25 15:45	> 5
2024-03-25 16:15	> 5
2024-03-25 16:30	> 5
2024-03-25 16:45	> 5
2024-03-25 17:15	> 5
2024-03-25 17:15	> 5
2024-03-25 17:30	> 5
2024-03-25 17:45	> 5
2024-03-25 18:15	> 5
2024-03-25 18:30	> 5
2024-03-25 18:45	> 5
2024-03-25 19:15	> 5
2024-03-25 19:15	> 5
2024-03-25 19:30	> 5
2024-03-25 19:45	> 4
2024-03-25 20:30	> 3
2024-03-25 20:45	> 4
2024-03-25 21:15	> 2
2024-03-25 21:30	> 4
2024-03-25 21:45	> 4
2024-03-25 22:15	> 2
2024-03-25 22:15	> 2
2024-03-25 22:30	> 2
2024-03-25 22:45	> 4
2024-03-25 23:15	> 4
2024-03-25 23:30	> 4
2024-03-25 23:45	> 1
