UpdateTime	TopWait
2025-03-17 00:15	> 5
2025-03-17 00:30	> 5
2025-03-17 00:45	> 6
2025-03-17 01:15	> 6
2025-03-17 01:30	> 6
2025-03-17 01:45	> 6
2025-03-17 02:30	> 6
2025-03-17 02:45	> 6
2025-03-17 02:45	> 6
2025-03-17 03:15	> 5
2025-03-17 03:15	> 5
2025-03-17 03:30	> 5
2025-03-17 03:45	> 5
2025-03-17 04:15	> 5
2025-03-17 04:45	> 5
2025-03-17 05:15	> 5
2025-03-17 05:30	> 5
2025-03-17 05:45	> 6
2025-03-17 06:15	> 5
2025-03-17 06:30	> 5
2025-03-17 06:45	> 6
2025-03-17 07:30	> 6
2025-03-17 07:45	> 6
2025-03-17 09:45	> 7
2025-03-17 11:00	> 6
2025-03-17 11:30	> 2
2025-03-17 11:45	> 2
2025-03-17 12:15	> 2
2025-03-17 12:30	> 2
2025-03-17 12:30	> 2
2025-03-17 13:15	> 3
2025-03-17 13:30	> 3
2025-03-17 13:45	> 3
2025-03-17 14:15	> 3
2025-03-17 14:45	> 3
2025-03-17 15:15	> 3
2025-03-17 15:30	> 3
2025-03-17 15:45	> 3
2025-03-17 16:30	> 3
2025-03-17 16:45	> 3
2025-03-17 16:45	> 3
2025-03-17 17:15	> 3
2025-03-17 17:30	> 3
2025-03-17 17:45	> 3
2025-03-17 18:15	> 3
2025-03-17 18:30	> 3
2025-03-17 18:45	> 3
2025-03-17 19:15	> 3
2025-03-17 19:30	> 3
2025-03-17 19:45	> 4
2025-03-17 20:45	> 4
2025-03-17 21:30	> 5
2025-03-17 21:30	> 5
2025-03-17 21:30	> 5
2025-03-17 22:15	> 5
2025-03-17 22:30	> 5
2025-03-17 22:30	> 5
2025-03-17 23:00	> 5
2025-03-17 23:30	> 5
2025-03-17 23:30	> 5
