UpdateTime	TopWait
2025-01-30 00:30	> 1
2025-01-30 00:45	> 1
2025-01-30 01:15	> 1
2025-01-30 01:30	> 1
2025-01-30 01:45	> 1
2025-01-30 02:15	> 1
2025-01-30 02:30	> 1
2025-01-30 02:45	> 1
2025-01-30 03:15	> 1
2025-01-30 03:15	> 1
2025-01-30 03:30	> 1
2025-01-30 03:45	> 1
2025-01-30 04:15	> 1
2025-01-30 04:45	> 1
2025-01-30 05:15	< 1
2025-01-30 05:30	< 1
2025-01-30 05:45	< 1
2025-01-30 06:30	< 1
2025-01-30 06:45	< 1
2025-01-30 07:15	< 1
2025-01-30 07:30	< 1
2025-01-30 09:30	> 1
2025-01-30 10:30	> 1
2025-01-30 10:45	> 1
2025-01-30 11:15	> 1
2025-01-30 11:30	> 1
2025-01-30 11:45	> 1
2025-01-30 12:15	> 1
2025-01-30 12:30	> 1
2025-01-30 12:45	> 1
2025-01-30 13:15	> 1
2025-01-30 13:30	> 1
2025-01-30 13:45	> 1
2025-01-30 14:15	> 1
2025-01-30 14:30	> 1
2025-01-30 14:45	> 1
2025-01-30 15:15	> 1
2025-01-30 15:30	> 1
2025-01-30 15:45	> 2
2025-01-30 16:15	> 2
2025-01-30 16:30	> 2
2025-01-30 16:45	> 2
2025-01-30 17:15	> 2
2025-01-30 17:30	> 2
2025-01-30 17:45	> 2
2025-01-30 18:15	> 2
2025-01-30 18:30	> 2
2025-01-30 18:45	> 2
2025-01-30 19:15	> 2
2025-01-30 19:15	> 2
2025-01-30 19:30	> 2
2025-01-30 19:45	> 2
2025-01-30 20:30	> 2
2025-01-30 21:00	> 2
2025-01-30 21:15	> 2
2025-01-30 21:30	> 2
2025-01-30 21:45	> 2
2025-01-30 22:15	> 2
2025-01-30 22:30	> 2
2025-01-30 23:15	> 2
2025-01-30 23:30	> 2
2025-01-30 23:45	> 2
