UpdateTime	TopWait
2024-08-25 00:15	> 2
2024-08-25 00:45	> 2
2024-08-25 01:15	> 2
2024-08-25 01:30	> 2
2024-08-25 01:45	> 2
2024-08-25 02:15	> 2
2024-08-25 02:30	> 2
2024-08-25 02:45	> 2
2024-08-25 03:15	> 2
2024-08-25 03:15	> 2
2024-08-25 03:30	> 2
2024-08-25 03:45	> 2
2024-08-25 04:15	> 2
2024-08-25 04:30	> 2
2024-08-25 04:45	> 2
2024-08-25 05:15	> 2
2024-08-25 05:15	> 2
2024-08-25 05:30	> 2
2024-08-25 05:45	> 2
2024-08-25 06:15	> 1
2024-08-25 06:30	> 1
2024-08-25 06:45	> 1
2024-08-25 07:15	> 1
2024-08-25 07:30	> 1
2024-08-25 07:45	> 1
2024-08-25 09:30	> 1
2024-08-25 10:30	> 1
2024-08-25 10:45	> 1
2024-08-25 11:15	> 1
2024-08-25 11:30	> 1
2024-08-25 12:15	> 1
2024-08-25 13:15	> 1
2024-08-25 13:30	> 1
2024-08-25 13:45	> 1
2024-08-25 14:15	> 1
2024-08-25 14:30	> 1
2024-08-25 14:45	> 1
2024-08-25 15:15	> 1
2024-08-25 15:15	> 1
2024-08-25 15:30	> 1
2024-08-25 15:45	> 1
2024-08-25 16:15	> 1
2024-08-25 16:30	> 1
2024-08-25 16:45	> 1
2024-08-25 17:15	> 1
2024-08-25 17:30	> 1
2024-08-25 17:45	> 1
2024-08-25 18:15	> 1
2024-08-25 18:30	> 1
2024-08-25 18:45	> 1
2024-08-25 19:15	> 1
2024-08-25 19:15	> 1
2024-08-25 19:30	> 1
2024-08-25 19:45	> 1
2024-08-25 20:30	> 1
2024-08-25 20:45	> 1
2024-08-25 21:15	> 1
2024-08-25 21:30	> 1
2024-08-25 21:45	> 1
2024-08-25 22:15	> 1
2024-08-25 22:15	> 1
2024-08-25 22:30	> 1
2024-08-25 22:45	> 1
2024-08-25 23:15	> 1
2024-08-25 23:30	> 1
2024-08-25 23:45	> 1
