UpdateTime	TopWait
2024-08-25 00:15	> 5
2024-08-25 00:45	> 5
2024-08-25 01:15	> 5
2024-08-25 01:30	> 5
2024-08-25 01:45	> 5
2024-08-25 02:15	> 5
2024-08-25 02:30	> 6
2024-08-25 02:45	> 6
2024-08-25 03:15	> 6
2024-08-25 03:15	> 6
2024-08-25 03:30	> 6
2024-08-25 03:45	> 6
2024-08-25 04:15	> 6
2024-08-25 04:30	> 6
2024-08-25 04:45	> 6
2024-08-25 05:15	> 7
2024-08-25 05:15	> 7
2024-08-25 05:30	> 7
2024-08-25 05:45	> 7
2024-08-25 06:15	> 7
2024-08-25 06:30	> 8
2024-08-25 06:45	> 8
2024-08-25 07:15	> 8
2024-08-25 07:30	> 8
2024-08-25 07:45	> 8
2024-08-25 09:30	> 8
2024-08-25 10:30	> 8
2024-08-25 10:45	> 8
2024-08-25 11:15	> 6
2024-08-25 11:30	> 3
2024-08-25 12:15	> 2
2024-08-25 13:15	> 1
2024-08-25 13:30	> 1
2024-08-25 13:45	> 1
2024-08-25 14:15	> 1
2024-08-25 14:30	> 1
2024-08-25 14:45	> 1
2024-08-25 15:15	> 1
2024-08-25 15:15	> 1
2024-08-25 15:30	> 1
2024-08-25 15:45	> 1
2024-08-25 16:15	> 1
2024-08-25 16:30	> 1
2024-08-25 16:45	< 1
2024-08-25 17:15	< 1
2024-08-25 17:30	< 1
2024-08-25 17:45	< 1
2024-08-25 18:15	< 1
2024-08-25 18:30	< 1
2024-08-25 18:45	< 1
2024-08-25 19:15	< 1
2024-08-25 19:15	< 1
2024-08-25 19:30	< 1
2024-08-25 19:45	< 1
2024-08-25 20:30	> 1
2024-08-25 20:45	> 1
2024-08-25 21:15	> 1
2024-08-25 21:30	> 1
2024-08-25 21:45	> 1
2024-08-25 22:15	> 1
2024-08-25 22:15	> 1
2024-08-25 22:30	> 1
2024-08-25 22:45	> 1
2024-08-25 23:15	> 1
2024-08-25 23:30	> 1
2024-08-25 23:45	> 1
